"PANTHER PREMIUM LOGISTICS, INC. - Master Revenue Details",

"Truck No","Deadhead Miles","EM Amount","EM Miles","EM Moves","FSC Revenue","Loaded Miles","Loads","Period","Revenue","Total Revenue",
"14334","5731","1156.3000","10400","19","7253.2600","43214","103","","37136.8800","44390.1400",
"13314","5152","845.1500","9676","22","7723.7000","45411","96","","36070.3900","43794.0900",
"14005","4339","447.1800","5584","14","6552.0200","39242","75","","31343.2900","37895.3100",
"14288","3255","1169.7200","8761","20","6097.1900","34428","64","","28659.4000","34756.5900",
"14314","3623","571.1200","6172","21","5628.2900","33095","60","","28637.0100","34265.3000",
"13416","3918","711.7100","6231","17","4955.0700","32222","73","","25280.0900","30235.1600",
"14271","4775","504.4100","6473","19","4776.4300","28641","79","","25123.1000","29899.5300",
"33351","1515","0.0000","168","1","1795.5000","8550","14","","13370.9500","15166.4500",
"13904","1193","176.8800","1675","4","1019.7500","6157","23","","5209.3000","6229.0500",


"Revenue Report for Truck: 14334",
"Pro No","Fiscal Date","Total $","Miles","Accessorial $","Canada $","Detention","Dead Head $","Layover $","Hand Load & Unload $","Tolls $","Bonus $","Stop Off $","Empty Move $","Other $","Linehaul $","FSC $",
"20180149643","1/2/2018","141","190","2","0","0","2","0","0","0","0","0","0","0","138","28",
"20180150341","1/3/2018","96","84","16","0","0","8","0","0","0","8","0","0","0","80","12",
"20180153360","1/8/2018","416","554","11","0","0","11","0","0","0","0","0","0","0","404","83",
"20180153768","1/9/2018","105","109","25","0","0","4","0","0","0","21","0","0","0","80","16",
"20180154688","1/10/2018","132","64","52","0","0","2","0","0","0","0","0","0","50","80","9",
"20180155047","1/10/2018","354","434","37","0","0","12","0","25","0","0","0","0","0","316","65",
"20180155476","1/11/2018","401","543","5","0","0","5","0","0","0","0","0","0","0","396","81",
"20180156770","1/12/2018","470","220","309","0","0","9","0","0","31","0","0","0","269","160","33",
"20180157203","1/16/2018","279","364","13","0","0","13","0","0","0","0","0","0","0","265","58",
"20180157526","1/15/2018","487","646","16","0","0","7","0","0","8","0","0","0","0","471","96",
"20180158789","1/17/2018","281","272","82","0","0","7","75","0","0","0","0","0","0","198","43",
"20180159313","1/18/2018","609","793","31","0","0","1","0","0","29","0","0","0","0","578","126",
"20180160238","1/19/2018","793","1011","55","0","41","9","0","0","4","0","0","0","0","738","161",
"20180164558","1/26/2018","122","130","28","0","0","3","0","0","0","25","0","0","0","94","20",
"20180165710","1/29/2018","245","326","7","0","0","7","0","0","0","0","0","0","0","237","52",
"20180166256","1/30/2018","393","515","17","0","0","13","0","0","0","0","0","3","0","375","82",
"20180167376","1/31/2018","698","954","1","0","0","1","0","0","0","0","0","0","0","696","152",
"20180270482","2/6/2018","928","1114","115","0","0","5","0","0","0","0","0","110","0","813","178",
"20180272088","2/9/2018","771","1038","13","0","0","13","0","0","0","0","0","0","0","757","166",
"20180275114","2/14/2018","1088","1384","77","0","3","6","0","0","0","0","0","67","0","1010","221",
"20180277485","2/19/2018","598","817","1","0","0","1","0","0","0","0","0","0","0","596","130",
"20180280553","2/26/2018","76","0","26","0","0","26","0","0","0","0","0","0","0","50","0",
"20180281331","2/23/2018","892","939","206","0","0","5","150","0","0","0","0","51","0","685","150",
"20180282231","2/27/2018","161","97","81","0","0","6","0","0","0","0","0","0","75","80","14",
"20180283514","2/28/2018","859","1002","128","0","0","36","75","0","5","0","0","10","0","731","150",
"20180301425","3/27/2018","226","236","54","0","0","10","0","0","8","35","0","0","0","172","35",
"20180302032","3/28/2018","195","249","13","0","0","3","0","0","9","0","0","0","0","181","37",
