[0]: report
Generating report.
Year, WeekNumber, Date, TruckId, Miles, TotalPaid, TotalDeductions
2019, 52, 12/27/2019, 15172, 3470, 2950.53, 150.42
2019, 52, 12/27/2019, 14334, 925, 770.64, 111.47
2019, 52, 12/27/2019, 14005, 700, 603.81, 130.63
2019, 52, 12/27/2019, 14288, 1152, 1119.38, 109.17
2019, 52, 12/27/2019, 14984, 1131, 938.88, 114.93
2019, 52, 12/27/2019, 14271, 1103, 964.24, 91.86
2019, 52, 12/27/2019, 15173, 535, 409.59, 126.47
2019, 52, 12/27/2019, 13416, 615, 481.12, 109.17
2019, 52, 12/27/2019, 14314, 352, 357.98, 90.70
2019, 52, 12/27/2019, 13904, 192, 245.46, 109.17
2019, 52, 12/27/2019, 13357, 1302, 1093.84, 86.86
2019, 52, 12/27/2019, 13461, 857, 703.62, 86.86
2019, 52, 12/27/2019, 13775, 1459, 1198.69, 90.32
2019, 51, 12/20/2019, 14984, 2092, 1664.68, 114.93
2019, 51, 12/20/2019, 15173, 1036, 767.48, 126.47
2019, 51, 12/20/2019, 14334, 940, 777.16, 111.47
2019, 51, 12/20/2019, 14288, 1622, 1294.89, 109.17
2019, 51, 12/20/2019, 13416, 1915, 1522.78, 109.17
2019, 51, 12/20/2019, 13904, 1349, 1058.08, 109.17
2019, 51, 12/20/2019, 15172, 2276, 1988.25, 150.42
2019, 51, 12/20/2019, 14005, 1518, 1485.64, 97.63
2019, 51, 12/20/2019, 14314, 208, 183.08, 90.70
2019, 51, 12/20/2019, 14271, 712, 553.93, 91.86
2019, 51, 12/20/2019, 13775, 3471, 2925.69, 90.32
2019, 51, 12/20/2019, 13795, 583, 619.40, 90.32
2019, 51, 12/20/2019, 13461, 751, 707.44, 86.86
2019, 51, 12/20/2019, 13357, 2572, 2092.89, 86.86
2019, 50, 12/13/2019, 14334, 2048, 1664.71, 111.47
2019, 50, 12/13/2019, 15173, 1502, 1325.71, 126.47
2019, 50, 12/13/2019, 13416, 1533, 1324.26, 109.17
2019, 50, 12/13/2019, 13904, 2359, 1921.85, 109.17
2019, 50, 12/13/2019, 14005, 1772, 1550.35, 97.63
2019, 50, 12/13/2019, 14984, 1068, 1204.71, 114.93
2019, 50, 12/13/2019, 14314, 1305, 1171.54, 90.70
2019, 50, 12/13/2019, 14288, 856, 786.64, 109.17
2019, 50, 12/13/2019, 15172, 1930, 1661.34, 150.42
2019, 50, 12/13/2019, 14271, 50, 92.46, 91.86
2019, 50, 12/13/2019, 13795, 2202, 1958.08, 90.32
2019, 50, 12/13/2019, 15092, 379, 500.13, 140.81
2019, 50, 12/13/2019, 13461, 1514, 1323.07, 86.86
2019, 50, 12/13/2019, 13768, 619, 588.05, 90.32
2019, 50, 12/13/2019, 13775, 2218, 1941.44, 90.32
2019, 50, 12/13/2019, 13357, 1619, 809.91, 86.86
2019, 49, 12/06/2019, 14314, 803, 649.14, 1148.58
2019, 49, 12/06/2019, 13904, 1900, 1712.40, 109.17
2019, 49, 12/06/2019, 14271, 933, 750.80, 91.86
2019, 49, 12/06/2019, 15173, 509, 382.77, 126.47
2019, 49, 12/06/2019, 14288, 914, 711.72, 109.17
2019, 49, 12/06/2019, 14005, 11, 142.18, 97.63
2019, 49, 12/06/2019, 13416, 1249, 1187.30, 109.17
2019, 49, 12/06/2019, 13314, 250, 225.70, 85.22
2019, 49, 12/06/2019, 14984, 4012, 3170.21, 114.93
2019, 49, 12/06/2019, 13357, 404, 327.28, 86.86
2019, 49, 12/06/2019, 13461, 1590, 1549.07, 86.86
2019, 49, 12/06/2019, 13768, 2620, 2133.56, 90.32
2019, 49, 12/06/2019, 15092, 5209, 4333.19, 268.63
2019, 49, 12/06/2019, 13775, 1349, 1117.06, 90.32
2019, 48, 11/29/2019, 15173, 969, 760.02, 126.47
2019, 48, 11/29/2019, 13904, 1662, 1500.40, 109.17
2019, 48, 11/29/2019, 14984, 981, 890.45, 114.93
2019, 48, 11/29/2019, 14334, 2663, 2041.30, 111.47
2019, 48, 11/29/2019, 13416, 1111, 963.89, 109.17
2019, 48, 11/29/2019, 15172, 3702, 2934.71, 150.42
2019, 48, 11/29/2019, 14288, 1235, 1137.28, 109.17
2019, 48, 11/29/2019, 14271, 1383, 1214.05, 91.86
2019, 48, 11/29/2019, 14314, 181, 156.60, 90.70
2019, 48, 11/29/2019, 0, 0, 0.00, 0.00
2019, 48, 11/29/2019, 13775, 5120, 4579.27, 90.32
2019, 48, 11/29/2019, 13357, 645, 709.04, 807.91
2019, 48, 11/29/2019, 13768, 2035, 1711.64, 90.32
